!SIL 1.0	sil
<UNK> 1.0	spn
गोपन्ना 1.0	g oo p a n n aa
अठ्ठकथाओं 1.0	a txh txh k a th aa oo q
झुकाकर 1.0	jh u k aa k a r
इलिनॉय 1.0	i l i n ax y
विषयवस्तु 1.0	w i sx y a w a s t u
आख़िर 1.0	aa khq i r
सिख 1.0	s i kh
करते 1.0	k a r t ee
उभारती 1.0	u bh aa r t ii
कैमियो 1.0	k ei m i y oo
सुरक्षाबल 1.0	s u r a k sx aa b a l
एडवरटाइजिंग 1.0	ee dx w a r tx aa i j i q g
कथानुसार 1.0	k a th aa n u s aa r
छेड़खानी 1.0	ch ee dxq kh aa n ii
बलहरपुर 1.0	b a l h a r p u r
दमिश्क 1.0	d a m i sh k
साधू 1.0	s aa dh uu
बिंट 1.0	b i q tx
पहुचने 1.0	p a h u c n ee
बेसी 1.0	b ee s ii
आदमी 1.0	aa d m ii
बरतन 1.0	b a r t a n
जोहर 1.0	j oo h a r
तापसी 1.0	t aa p s ii
एल्वुड 1.0	ee l w u dx
इंटरनल 1.0	i q tx a r n a l
ज्ञानराशि 1.0	j nj aa n r aa sh i
सहमत 1.0	s a h m a t
ईआरसी 1.0	ii aa r s ii
चालक 1.0	c aa l a k
जवानों 1.0	j a w aa n oo q
शोर्ड 1.0	sh oo r dx
तम्बू 1.0	t a m b uu
जीन्स 1.0	j ii n s
राईफल 1.0	r aa ii ph a l
जूगलर 1.0	j uu g l a r
यूआई 1.0	y uu aa ii
अनन्यता 1.0	a n a n y a t aa
चामुंडा 1.0	c aa m u q dx aa
मारीचि 1.0	m aa r ii c i
तिहरा 1.0	t i h r aa
कैमरामैन 1.0	k ei m r aa m ei n
ओवरटाइम 1.0	oo w a r tx aa i m
मुस्लमान 1.0	m u s l a m aa n
ओमी 1.0	oo m ii
मूठली 1.0	m uu txh l ii
रिनोवेशन 1.0	r i n oo w ee sh a n
रीफ़ 1.0	r ii f
बलबला 1.0	b a l b a l aa
अलाबामा 1.0	a l aa b aa m aa
सुन 1.0	s u n
जिप्सी 1.0	j i p s ii
टकराते 1.0	tx a k r aa t ee
पडिहार 1.0	p a dx i h aa r
खबर 1.0	kh a b a r
वान 1.0	w aa n
भि 1.0	bh i
धर्मसूत्रों 1.0	dh a r m a s uu t r oo q
आगाज 1.0	aa g aa j
चंचलता 1.0	c a q c a l t aa
ईपीएफ 1.0	ii p ii ee ph
ट्यूनीशिया 1.0	tx y uu n ii sh i y aa
शिक्षामंत्री 1.0	sh i k sx aa m a q t r ii
घुसपैठियोंमें 1.0	gh u s p ei txh i y oo q m ee q
बाणभट्ट 1.0	b aa nx bh a tx tx
तात्त्विक 1.0	t aa t t w i k
अगली 1.0	a g l ii
आयर्स 1.0	aa y a r s
सैफई 1.0	s ei ph a ii
लाप्लास 1.0	l aa p l aa s
विधिवत् 1.0	w i dh i w a t
ब्रांडों 1.0	b r aa q dx oo q
मुंह 1.0	m u q h
क्रोनिक 1.0	k r oo n i k
मॅन 1.0	m ae n
रबादा 1.0	r a b aa d aa
दंपती 1.0	d a q p a t ii
कैदियों 1.0	k ei d i y oo q
कमान 1.0	k a m aa n
औ्र 1.0	ou r
खरीददारी 1.0	kh a r ii d d aa r ii
बकायादारों 1.0	b a k aa y aa d aa r oo q
स्ट्रेट्स 1.0	s tx r ee tx s
नैचुरल 1.0	n ei c u r a l
राजनीितक 1.0	r aa j n ii i t a k
उपकरणों 1.0	u p a k a r nx oo q
फ्लिंट्रिज 1.0	ph l i q tx r i j
धूसर 1.0	dh uu s a r
मांझा 1.0	m aa q jh aa
रेमो 1.0	r ee m oo
गेंदबाज 1.0	g ee q d a b aa j
निम्बार्क 1.0	n i m b aa r k
बायोनिक्स 1.0	b aa y oo n i k s
टीटीपीएस 1.0	tx ii tx ii p ii ee s
चण्डीगढ़ 1.0	c a nx dx ii g a dxhq
अश्गाबाद 1.0	a sh g aa b aa d
हुमायुं 1.0	h u m aa y u q
थेरावाद 1.0	th ee r aa w aa d
डिस्टर्बेंस 1.0	dx i s tx a r b ee q s
स्टिकर 1.0	s tx i k a r
संभावनाओं 1.0	s a q bh aa w n aa oo q
टेट 1.0	tx ee tx
अचूक 1.0	a c uu k
डांटते 1.0	dx aa q tx a t ee
जन्नत 1.0	j a n n a t
अड़सठ 1.0	a dxq s a txh
मो 1.0	m oo
मोहल्लवासियों 1.0	m oo h a l l w aa s i y oo q
छयासठ 1.0	ch a y aa s a txh
वसंतसंपात 1.0	w a s a q t a s a q p aa t
शिवकार्तिकेयन 1.0	sh i w k aa r t i k ee y a n
कोरोंवाले 1.0	k oo r oo q w aa l ee
तेलगांना 1.0	t ee l g aa q n aa
जवेरी 1.0	j a w ee r ii
प्रियांक 1.0	p r i y aa q k
फ्रिट्स् 1.0	ph r i tx s
सिमियन 1.0	s i m i y a n
अवनीश 1.0	a w n ii sh
दिवानगी 1.0	d i w aa n g ii
हाॅकी 1.0	h aa ae k ii
वेंट्रिकल 1.0	w ee q tx r i k a l
अायी 1.0	a aa y ii
काबिज़ 1.0	k aa b i z
महलगांव 1.0	m a h a l g aa q w
हामिश 1.0	h aa m i sh
इंजील 1.0	i q j ii l
कोकीन 1.0	k oo k ii n
काम्बोज 1.0	k aa m b oo j
चिल्लाएंगे 1.0	c i l l aa ee q g ee
बरेलवी 1.0	b a r ee l w ii
शुचि 1.0	sh u c i
बटायेंगें 1.0	b a tx aa y ee q g ee q
टॉफी 1.0	tx ax ph ii
अगवानी 1.0	a g w aa n ii
डोमर 1.0	dx oo m a r
उत्साहवर्धन 1.0	u t s aa h w a r dh a n
अल्ट्रा 1.0	a l tx r aa
मेवाडा 1.0	m ee w aa dx aa
एसे 1.0	ee s ee
करीबियों 1.0	k a r ii b i y oo q
आक्सैलिक 1.0	aa k s ei l i k
आत्महत्या 1.0	aa t m a h a t y aa
एलबीडब्ल्यू 1.0	ee l b ii dx a b l y uu
रूही 1.0	r uu h ii
अर्धसैनिक 1.0	a r dh a s ei n i k
बर्गर 1.0	b a r g a r
हॉस्पिटल 1.0	h ax s p i tx a l
हंगामेदार 1.0	h a q g aa m ee d aa r
भाषियों 1.0	bh aa sx i y oo q
माफ़ी 1.0	m aa f ii
रीमेक 1.0	r ii m ee k
संबध्द 1.0	s a q b a dh d
रोजर 1.0	r oo j a r
मणिरत्न 1.0	m a nx i r a t n
कादियान 1.0	k aa d i y aa n
अमेरिकी 1.0	a m ee r i k ii
विचारकों 1.0	w i c aa r k oo q
श्वेतांबर 1.0	sh w ee t aa q b a r
वर्गीकरण 1.0	w a r g ii k r a nx
पदानुक्रम 1.0	p a d aa n u k r a m
बांटती 1.0	b aa q tx a t ii
व्यावहारिक 1.0	w y aa w h aa r i k
घराने 1.0	gh a r aa n ee
मनाये 1.0	m a n aa y ee
सैमुअल्स 1.0	s ei m u a l s
बाॅडी 1.0	b aa ae dx ii
अनुक्रम 1.0	a n u k r a m
स्थम 1.0	s th a m
अटायर 1.0	a tx aa y a r
कमलाङ्क 1.0	k a m l aa ng k
कविशिरोमणि 1.0	k a w i sh i r oo m nx i
बीटिंग 1.0	b ii tx i q g
प्रधान 1.0	p r dh aa n
जुआफड़ 1.0	j u aa ph a dxq
अफवाह 1.0	a ph w aa h
मुड़ 1.0	m u dxq
ग्लौबर 1.0	g l ou b a r
रोमांच 1.0	r oo m aa q c
घुबाया 1.0	gh u b aa y aa
अंशुला 1.0	a q sh u l aa
एडलिन 1.0	ee dx l i n
प्रधानाध्यापक 1.0	p r dh aa n aa dh y aa p a k
बसने 1.0	b a s n ee
ऋतिक 1.0	rq t i k
नदियों 1.0	n a d i y oo q
मोनोफोनिक 1.0	m oo n oo ph oo n i k
बुरख़ान 1.0	b u r khq aa n
देव 1.0	d ee w
देशवाल 1.0	d ee sh w aa l
मेहमानों 1.0	m ee h m aa n oo q
तूवी 1.0	t uu w ii
डिपाधारकों 1.0	dx i p aa dh aa r k oo q
जांसटन 1.0	j aa q s a tx a n
जलनसी 1.0	j a l n a s ii
सामान्य 1.0	s aa m aa n y
इसमें 1.0	i s m ee q
र्इंट 1.0	r i q tx
व्यापारियों 1.0	w y aa p aa r i y oo q
इंतेजार 1.0	i q t ee j aa r
क्यूबिस्म 1.0	k y uu b i s m
संज्ञानात्मक 1.0	s a q j nj aa n aa t m a k
सम्भवत 1.0	s a m bh a w a t
हनुमान 1.0	h a n u m aa n
स्ट्रिप्स 1.0	s tx r i p s
सेलेब्रटी 1.0	s ee l ee b r a tx ii
सत्प्रवृत्ति 1.0	s a t p r a w rq t t i
झो 1.0	jh oo
जॉम्बी 1.0	j ax m b ii
कोने 1.0	k oo n ee
चन्द 1.0	c a n d
अभियंताओं 1.0	a bh i y a q t aa oo q
हावा 1.0	h aa w aa
रहेगी 1.0	r a h ee g ii
बि 1.0	b i
लाइडेन 1.0	l aa i dx ee n
कोलांट्रो 1.0	k oo l aa q tx r oo
भीम 1.0	bh ii m
माईक्रोब्स 1.0	m aa ii k r oo b s
धर्मपंडित 1.0	dh a r m a p a q dx i t
जलमग्न 1.0	j a l m a g n
बिगाड़ 1.0	b i g aa dxq
फ्लोरीकृत 1.0	ph l oo r ii k rq t
खूश 1.0	kh uu sh
तंजील 1.0	t a q j ii l
ओएएलपीसे 1.0	oo ee ee l p ii s ee
फ़ेंक 1.0	f ee q k
मांगेगी 1.0	m aa q g ee g ii
हेलिकोबैक्टर 1.0	h ee l i k oo b ei k tx a r
सम्थिंग 1.0	s a m th i q g
एक्सपेंडेबल 1.0	ee k s a p ee q dx ee b a l
परीक्षाएँ 1.0	p a r ii k sx aa ee mq
सामाना 1.0	s aa m aa n aa
चाहिएं 1.0	c aa h i ee q
पटाक्षेप 1.0	p a tx aa k sx ee p
सतरहा 1.0	s a t r a h aa
वनस्पतियां 1.0	w a n a s p a t i y aa q
खुशनसीब 1.0	kh u sh n a s ii b
दिलबहार 1.0	d i l b a h aa r
नामर्दगी 1.0	n aa m a r d a g ii
मेरठ 1.0	m ee r a txh
चरणों 1.0	c a r nx oo q
जिराफ़ 1.0	j i r aa f
स्थापत्य 1.0	s th aa p a t y
व्रताचरण 1.0	w r t aa c r a nx
एकविमितीय 1.0	ee k w i m i t ii y
वाक्य 1.0	w aa k y
रुकते 1.0	r u k t ee
जसुबेन 1.0	j a s u b ee n
गंतव्यों 1.0	g a q t a w y oo q
प्रभाावित 1.0	p r bh aa aa w i t
गणपतिशास्त्री 1.0	g a nx a p t i sh aa s t r ii
सुकंेदर 1.0	s u k a q ee d a r
बहुप्रचलित 1.0	b a h u p r a c a l i t
तिरंगे 1.0	t i r a q g ee
अणुसूत्र 1.0	a nx u s uu t r
टेनरियां 1.0	tx ee n r i y aa q
चलेंगी 1.0	c a l ee q g ii
प्रोन्नति 1.0	p r oo n n t i
क्रीम 1.0	k r ii m
ड्डपा 1.0	dx dx p aa
पापड़ 1.0	p aa p a dxq
पीरो 1.0	p ii r oo
मुशायरे 1.0	m u sh aa y r ee
आयन 1.0	aa y a n
हास्यप्रद 1.0	h aa s y a p r a d
काण 1.0	k aa nx
सुर्खियं 1.0	s u r kh i y a q
तड़तड़ाहट 1.0	t a dxq t a dxq aa h a tx
माताओं 1.0	m aa t aa oo q
ओबेराय 1.0	oo b ee r aa y
मोके 1.0	m oo k ee
नवदुर्गा 1.0	n a w d u r g aa
काॅरपोरेशन 1.0	k aa ae r p oo r ee sh a n
सल्फर 1.0	s a l ph a r
बाबूलाल 1.0	b aa b uu l aa l
बिखराव 1.0	b i kh r aa w
गोलान 1.0	g oo l aa n
बास्केट 1.0	b aa s k ee tx
सीनीयर 1.0	s ii n ii y a r
जाहिर 1.0	j aa h i r
पालन 1.0	p aa l a n
आयशा 1.0	aa y sh aa
स्थति 1.0	s th t i
हाशियों 1.0	h aa sh i y oo q
रतिभर 1.0	r a t i bh a r
गुलबर्ग 1.0	g u l b a r g
निर्देश्नुमा 1.0	n i r d ee sh n u m aa
हिडिंक 1.0	h i dx i q k
आठ 1.0	aa txh
अर्धकुम्भ 1.0	a r dh a k u m bh
जातेे 1.0	j aa t ee ee
फीचर्स 1.0	ph ii c a r s
फाइटोन्यूट्रिएंट्स 1.0	ph aa i tx oo n y uu tx r i ee q tx s
मनचाहा 1.0	m a n c aa h aa
रणभूमि 1.0	r a nx bh uu m i
नियमावली 1.0	n i y m aa w l ii
करेंः 1.0	k a r ee q hq
जनजातियाँ 1.0	j a n j aa t i y aa mq
ठुमरी 1.0	txh u m r ii
क्षुरप्र 1.0	k sx u r a p r
बुधवर 1.0	b u dh w a r
तेलगू 1.0	t ee l g uu
श्रापों 1.0	sh r aa p oo q
खलील 1.0	kh a l ii l
पोंटिंग 1.0	p oo q tx i q g
गेरोसा 1.0	g ee r oo s aa
एंकल 1.0	ee q k a l
शीघ्रातिशीघ्र 1.0	sh ii gh r aa t i sh ii gh r
करियाझाला 1.0	k a r i y aa jh aa l aa
अभिलेखों 1.0	a bh i l ee kh oo q
चिल्लाना 1.0	c i l l aa n aa
पीसीओ 1.0	p ii s ii oo
वेलेन्टाइन 1.0	w ee l ee n tx aa i n
प्लाइवुड 1.0	p l aa i w u dx
केा 1.0	k ee aa
महज 1.0	m a h a j
ठेस 1.0	txh ee s
एल्बम 1.0	ee l b a m
कुर्त्तापायजामा 1.0	k u r t t aa p aa y j aa m aa
तीसा 1.0	t ii s aa
शब्दानुक्रम 1.0	sh a b d aa n u k r a m
नाइट्रीकरण 1.0	n aa i tx r ii k r a nx
झड़ी 1.0	jh a dxq ii
समझाकर 1.0	s a m jh aa k a r
प्रस्तुतकर्ताओं 1.0	p r a s t u t k a r t aa oo q
सवर्णों 1.0	s a w a r nx oo q
मुकालात 1.0	m u k aa l aa t
कीडे 1.0	k ii dx ee
इंद्रलोक 1.0	i q d r a l oo k
हरविंदर 1.0	h a r w i q d a r
हेलोवीन 1.0	h ee l oo w ii n
विचारधारा 1.0	w i c aa r dh aa r aa
दमकती 1.0	d a m k a t ii
बेतरतीबी 1.0	b ee t a r t ii b ii
पाॅलिसी 1.0	p aa ae l i s ii
छिपाते 1.0	ch i p aa t ee
सर्पम 1.0	s a r p a m
ब्रॉडगेज 1.0	b r ax dx g ee j
बसर 1.0	b a s a r
प्रोटेम 1.0	p r oo tx ee m
होटलों 1.0	h oo tx l oo q
राज़ी 1.0	r aa z ii
न्यूरोट्रांसमीटर 1.0	n y uu r oo tx r aa q s a m ii tx a r
अर्थों 1.0	a r th oo q
धन्जू 1.0	dh a n j uu
आउटसोर्सिंग 1.0	aa u tx a s oo r s i q g
अथवा 1.0	a th w aa
गज़नवी 1.0	g a z n a w ii
हंसगामिनी 1.0	h a q s a g aa m i n ii
अखण्डता 1.0	a kh a nx dx a t aa
टेंडेंट 1.0	tx ee q dx ee q tx
शाक्त 1.0	sh aa k t
नड्डा 1.0	n a dx dx aa
जिंग 1.0	j i q g
नीस्सीरिया 1.0	n ii s s ii r i y aa
हॉलीडे 1.0	h ax l ii dx ee
हलुवाई 1.0	h a l u w aa ii
वेदविरोधी 1.0	w ee d w i r oo dh ii
उठाएंगे 1.0	u txh aa ee q g ee
बसायी 1.0	b a s aa y ii
झा 1.0	jh aa
घाटाबिल्लौद 1.0	gh aa tx aa b i l l ou d
उपलब्धियां 1.0	u p a l a b dh i y aa q
भई 1.0	bh a ii
लगाये 1.0	l a g aa y ee
सुगमता 1.0	s u g a m t aa
खांडाहाटी 1.0	kh aa q dx aa h aa tx ii
टावर्स 1.0	tx aa w a r s
गोयल 1.0	g oo y a l
जिंदल 1.0	j i q d a l
परियोजना 1.0	p a r i y oo j n aa
कस्बे 1.0	k a s b ee
कंसिस्टेंसी 1.0	k a q s i s tx ee q s ii
बुकियों 1.0	b u k i y oo q
ट्रांग 1.0	tx r aa q g
डेला 1.0	dx ee l aa
आर्क 1.0	aa r k
कि॰मी॰ 1.0	k i r m ii r
चोय 1.0	c oo y
पटवारी 1.0	p a tx w aa r ii
प्रविण 1.0	p r w i nx
साफसफाई 1.0	s aa ph a s ph aa ii
जनपदों 1.0	j a n a p d oo q
बू 1.0	b uu
कलर्ड 1.0	k a l a r dx
एलीकोट 1.0	ee l ii k oo tx
एचएसबीसी 1.0	ee c a ee s b ii s ii
जुड़कर 1.0	j u dxq k a r
खोजें 1.0	kh oo j ee q
अनापत्ति 1.0	a n aa p a t t i
खोए 1.0	kh oo ee
कृषिकार्य 1.0	k rq sx i k aa r y
मिलना 1.0	m i l n aa
भारतवर्ष 1.0	bh aa r t a w a r sx
ठोस 1.0	txh oo s
एसो 1.0	ee s oo
चीतल 1.0	c ii t a l
गंवा 1.0	g a q w aa
ब्रांद्रा 1.0	b r aa q d r aa
करंजिया 1.0	k a r a q j i y aa
अपचयी 1.0	a p c a y ii
ग्रेफाइट 1.0	g r ee ph aa i tx
झगड़ालू 1.0	jh a g dxq aa l uu
सीजफायर 1.0	s ii j ph aa y a r
निरोगी 1.0	n i r oo g ii
अथर्वकाल 1.0	a th a r w a k aa l
फ्लैट 1.0	ph l ei tx
भेदने 1.0	bh ee d n ee
एफलेक 1.0	ee ph l ee k
बुना 1.0	b u n aa
कानपुरझाँसी 1.0	k aa n p u r jh aa mq s ii
संपृक्तवाष्पदबाव 1.0	s a q p rq k t a w aa sx p a d a b aa w
वेगो 1.0	w ee g oo
दुर्गापूजा 1.0	d u r g aa p uu j aa
फासले 1.0	ph aa s l ee
फेंटा 1.0	ph ee q tx aa
रेजोल्यूशन 1.0	r ee j oo l y uu sh a n
अनुशयना 1.0	a n u sh a y n aa
दस्तावेजों 1.0	d a s t aa w ee j oo q
एल्यूमीनियम 1.0	ee l y uu m ii n i y a m
एक्साइज 1.0	ee k s aa i j
करी 1.0	k a r ii
स्वरूपरानी 1.0	s w r uu p r aa n ii
जसवंत 1.0	j a s w a q t
लुफ़्टहान्सा 1.0	l u f tx a h aa n s aa
सुश्री 1.0	s u sh r ii
पहाड़ियां 1.0	p a h aa dxq i y aa q
लते 1.0	l a t ee
लाड़ले 1.0	l aa dxq l ee
ओलंपिया 1.0	oo l a q p i y aa
एटेरी 1.0	ee tx ee r ii
एजी 1.0	ee j ii
मण्डलों 1.0	m a nx dx a l oo q
व्हाइट 1.0	w h aa i tx
बुद्धा 1.0	b u d dh aa
देखिए 1.0	d ee kh i ee
पंजदेह 1.0	p a q j a d ee h
जिन्टिंग 1.0	j i n tx i q g
फ़िरोज़ा 1.0	f i r oo z aa
श्रीमद्भागवत 1.0	sh r ii m a d bh aa g w a t
साइलैब 1.0	s aa i l ei b
कर्बला 1.0	k a r b a l aa
अतिरिक्ति 1.0	a t i r i k t i
सन्तान 1.0	s a n t aa n
बोलेंगे 1.0	b oo l ee q g ee
द्रोही 1.0	d r oo h ii
वित्त 1.0	w i t t
इनसिक्योर 1.0	i n s i k y oo r
प्रतिपक्ष 1.0	p r t i p a k sx
दिघवारा 1.0	d i gh w aa r aa
रोज़ 1.0	r oo z
अक्षरा 1.0	a k sx a r aa
पूर्वाग्रह 1.0	p uu r w aa g r a h
रोपना 1.0	r oo p n aa
मेवातियो 1.0	m ee w aa t i y oo
निर्दलीय 1.0	n i r d a l ii y
अर्ल 1.0	a r l
निगेटिव 1.0	n i g ee tx i w
रतनपुरा 1.0	r a t n a p u r aa
जॉर्जियाई 1.0	j ax r j i y aa ii
मोमबत्तियाँ 1.0	m oo m b a t t i y aa mq
घ्रुव 1.0	gh r u w
डुप्लीकेट 1.0	dx u p l ii k ee tx
औषधीय 1.0	ou sx dh ii y
उद्धरणों 1.0	u d dh a r a nx oo q
पशुशालाएं 1.0	p a sh u sh aa l aa ee q
कोशीरीमान 1.0	k oo sh ii r ii m aa n
पलटी 1.0	p a l tx ii
वितरक 1.0	w i t r a k
बच्चनजी 1.0	b a c c a n j ii
अंगुलियों 1.0	a q g u l i y oo q
टैटन 1.0	tx ei tx a n
कबित्त 1.0	k a b i t t
दिखेगा 1.0	d i kh ee g aa
शपथग्रहण 1.0	sh a p th a g r a h a nx
कोरोनाग्रस्त 1.0	k oo r oo n aa g r a s t
अरजेंटो 1.0	a r j ee q tx oo
सेंट्रेल 1.0	s ee q tx r ee l
अनुमानित 1.0	a n u m aa n i t
सीहोर 1.0	s ii h oo r
पोमोर 1.0	p oo m oo r
आराजी 1.0	aa r aa j ii
ओट्स 1.0	oo tx s
बानो 1.0	b aa n oo
थ्री 1.0	th r ii
टिकिया 1.0	tx i k i y aa
वाचरों 1.0	w aa c r oo q
स्मोकी 1.0	s m oo k ii
लउके 1.0	l a u k ee
दिवाना 1.0	d i w aa n aa
जलगांव 1.0	j a l g aa q w
मैरीके 1.0	m ei r ii k ee
सैंमसंग 1.0	s ei q m a s a q g
गवर्नर 1.0	g a w a r n a r
पीसें 1.0	p ii s ee q
खंबे 1.0	kh a q b ee
आजमाकर 1.0	aa j m aa k a r
ब्लूबेरी 1.0	b l uu b ee r ii
अनुकूलतम 1.0	a n u k uu l t a m
नगला 1.0	n a g l aa
झरझरा 1.0	jh a r jh a r aa
चाहये 1.0	c aa h y ee
क्विकर 1.0	k w i k a r
वेलिंगटन 1.0	w ee l i q g a tx a n
बोरदोलोई 1.0	b oo r d oo l oo ii
अनेकानेक 1.0	a n ee k aa n ee k
परोसिये 1.0	p a r oo s i y ee
रोकेगा 1.0	r oo k ee g aa
खास 1.0	kh aa s
मालिक 1.0	m aa l i k
वासुकि 1.0	w aa s u k i
ऑफिसर्स 1.0	ax ph i s a r s
हाईकोर्ट 1.0	h aa ii k oo r tx
केनिथवर्थऔर 1.0	k ee n i th w a r th a ou r
लखवी 1.0	l a kh w ii
चोरिजो 1.0	c oo r i j oo
दीव 1.0	d ii w
क्लाईमैक्स 1.0	k l aa ii m ei k s
एफडी 1.0	ee ph dx ii
बैठै 1.0	b ei txh ei
शिवगुरु 1.0	sh i w g u r u
आदित्यन 1.0	aa d i t y a n
उघूट 1.0	u gh uu tx
असबाब 1.0	a s b aa b
पापप्रशमनं 1.0	p aa p a p r a sh a m n a q
अक्षमता 1.0	a k sx a m a t aa
शहनाइयां 1.0	sh a h n aa i y aa q
इंग्लिश 1.0	i q g l i sh
हबीबुल्लाह 1.0	h a b ii b u l l aa h
टेंडरिंग 1.0	tx ee q dx a r i q g
गड़हों 1.0	g a dxq h oo q
रखनी 1.0	r a kh n ii
कलापक्ष 1.0	k a l aa p a k sx
जनभाषाओं 1.0	j a n bh aa sx aa oo q
आइये 1.0	aa i y ee
वार्ड 1.0	w aa r dx
बीएलओ 1.0	b ii ee l a oo
तर्कों 1.0	t a r k oo q
रशीद 1.0	r a sh ii d
जेसिका 1.0	j ee s i k aa
पीरियड 1.0	p ii r i y a dx
ईराइवन 1.0	ii r aa i w a n
अपनाने 1.0	a p n aa n ee
उतरी 1.0	u t a r ii
बागड़ी 1.0	b aa g dxq ii
त्रिपुरारि 1.0	t r i p u r aa r i
दामन 1.0	d aa m a n
वहिष्कार 1.0	w a h i sx k aa r
इंजिनियर 1.0	i q j i n i y a r
छापा 1.0	ch aa p aa
जायज़ 1.0	j aa y a z
फूलमालाओं 1.0	ph uu l m aa l aa oo q
मानना 1.0	m aa n n aa
नीदरलैंड्स 1.0	n ii d r a l ei q dx s
ॠथियों 1.0	rqw th i y oo q
पुरोहितों 1.0	p u r oo h i t oo q
सनी 1.0	s a n ii
सोहम 1.0	s oo h a m
कैमरें 1.0	k ei m r ee q
मुकुलभट्ट 1.0	m u k u l bh a tx tx
खली 1.0	kh a l ii
गिद्धों 1.0	g i d dh oo q
क्रह्र 1.0	k r a h r
नुस्खा 1.0	n u s kh aa
मेन्टेन 1.0	m ee n tx ee n
सोनकर 1.0	s oo n k a r
पुर्नजन्म 1.0	p u r n a j a n m
कहूं 1.0	k a h uu q
पक्की 1.0	p a k k ii
मरोल 1.0	m a r oo l
जासूस 1.0	j aa s uu s
गुटबाजी 1.0	g u tx b aa j ii
खिलाडी 1.0	kh i l aa dx ii
लांगेस्ट 1.0	l aa q g ee s tx
क्षेत्रा 1.0	k sx ee t r aa
लेब 1.0	l ee b
मुताबिक 1.0	m u t aa b i k
हेड़ी 1.0	h ee dxq ii
रविवार 1.0	r a w i w aa r
फुहारों 1.0	ph u h aa r oo q
ईरिक 1.0	ii r i k
चुय़ाडांगा 1.0	c u y aa dx aa q g aa
आलेखों 1.0	aa l ee kh oo q
वाराहमिहिर 1.0	w aa r aa h m i h i r
आईएस 1.0	aa ii ee s
एप्लेक 1.0	ee p l ee k
किशोरावस्था 1.0	k i sh oo r aa w a s th aa
धीमी 1.0	dh ii m ii
चेन्नै 1.0	c ee n n ei
गीतां 1.0	g ii t aa q
अंग्रजों 1.0	a q g r a j oo q
फीलिंग 1.0	ph ii l i q g
आंखे 1.0	aa q kh ee
गार्निशिंग 1.0	g aa r n i sh i q g
काव्यशास्त्र 1.0	k aa w y a sh aa s t r
मास्के 1.0	m aa s k ee
पहुंचाएं 1.0	p a h u q c aa ee q
ख्यात 1.0	kh y aa t
मेलिसा 1.0	m ee l i s aa
रेडीमेड 1.0	r ee dx ii m ee dx
विक्सन 1.0	w i k s a n
शालिनी 1.0	sh aa l i n ii
फिरोजिया 1.0	ph i r oo j i y aa
साथियों 1.0	s aa th i y oo q
बाजारू 1.0	b aa j aa r uu
अकाउंट्स 1.0	a k aa u q tx s
अपन्यास 1.0	a p a n y aa s
डोंबिवली 1.0	dx oo q b i w l ii
सुरा 1.0	s u r aa
मनीसिंह 1.0	m a n ii s i q h
जयमल 1.0	j a y m a l
वाइगोत्स्कीय 1.0	w aa i g oo t s k ii y
हमपर 1.0	h a m p a r
संनिधि 1.0	s a q n i dh i
सेटविन 1.0	s ee tx w i n
लगाएंगी 1.0	l a g aa ee q g ii
डोर्स 1.0	dx oo r s
तापसारण्य 1.0	t aa p s aa r a nx y
बाल्टि 1.0	b aa l tx i
लालसा 1.0	l aa l s aa
लेपटॉप 1.0	l ee p tx ax p
अंसार 1.0	a q s aa r
बन्दी 1.0	b a n d ii
बुलबुला 1.0	b u l b u l aa
ईद 1.0	ii d
हेन्डल 1.0	h ee n dx a l
सुल्तानपुर 1.0	s u l t aa n p u r
इच्छाएं 1.0	i c ch aa ee q
पाबीबेन 1.0	p aa b ii b ee n
कांजोनिएरे 1.0	k aa q j oo n i ee r ee
कल्चर 1.0	k a l c a r
भरण 1.0	bh a r a nx
सिलोचना 1.0	s i l oo c n aa
पद्मा 1.0	p a d m aa
चंडीगढ़ 1.0	c a q dx ii g a dxhq
मैस 1.0	m ei s
मैनहट्टन 1.0	m ei n h a tx tx a n
इंटरनेशनेल 1.0	i q tx a r n ee sh n ee l
जहांगीर 1.0	j a h aa q g ii r
बिलियर्ड्स 1.0	b i l i y a r dx s
भंजदेव 1.0	bh a q j a d ee w
गोड़ी 1.0	g oo dxq ii
चढ़े 1.0	c a dxhq ee
मोहना 1.0	m oo h n aa
ऐक 1.0	ei k
तितलियों 1.0	t i t l i y oo q
नियम 1.0	n i y a m
शास्त्रानुसार 1.0	sh aa s t r aa n u s aa r
मौसेरे 1.0	m ou s ee r ee
तलें 1.0	t a l ee q
लौटेंगे 1.0	l ou tx ee q g ee
मिराज 1.0	m i r aa j
वसूली 1.0	w a s uu l ii
बढऩी 1.0	b a dxh nd ii
टेलरिंग 1.0	tx ee l r i q g
कांटीवाल 1.0	k aa q tx ii w aa l
गौरा 1.0	g ou r aa
छिड़ी 1.0	ch i dxq ii
वाईएसआरसीपी 1.0	w aa ii ee s a aa r s ii p ii
नजरिया 1.0	n a j r i y aa
दहाड़ 1.0	d a h aa dxq
लुलकीदिही 1.0	l u l k ii d i h ii
आइब्रो 1.0	aa i b r oo
कुमारस्वामी 1.0	k u m aa r a s w aa m ii
मंथर 1.0	m a q th a r
भाषी 1.0	bh aa sx ii
ग्लो 1.0	g l oo
हताश 1.0	h a t aa sh
